NAF 1st Class,NAF 2nd Class,Description
9,,"Quelques années plus tard, le Groupe fournissait déjà des bateaux d'approvisionnement, des barges de travail et des remorqueurs à des sociétés d'exploration et de production en Asie du Sud-Est et dans le golfe Persique."
9,,Les activités de Perenco se sont rapidement diversifiées dans le stockage pétrolier et les barges de service.
9,,"En parallèle de l'acquisition de la société de forage Techfor, le Groupe a construit une flotte de plateformes de forage, de plateformes autoélévatrices, de barges submergées et de plateformes terrestres."
9,,"Le Groupe a effectué la livraison du premier gaz commercial du champ de Sanaga au Cameroun. La même année, Perenco a produit le premier pétrole du Bloc 67 au Pérou."
9,,"Après le Bloc 67 au Pérou, le Groupe a également produit le premier pétrole des champs"
9,,le Groupe relance la campagne de forage
9,,"Récemment, l’entreprise a procédé à de gros travaux d’intégrité sur un FPSO, unité flottante de production et de stockage de brut."
9,,"L’unité de production, dotée d’installations telles que : classificateur à sable, centrale à graves,  etc…"
9,,"nous permet de proposer une large gamme de produits à nos clients (sable à chape, sable d’épandage, sable à maçonner, graves traitées et non traitées, …)"
9,,"Notre centrale d’enrobage discontinue de marque Benninghoven et de type TBA 3000, d’une capacité de 240 tonnes/heure"
9,,nous permet de vous proposer toute la gamme de matériaux enrobés nécessaires à vos chantiers
9,,"Nous avons la possibilité d’intégrer des Agrégats d’Enrobés, ainsi que de vous proposer des enrobés teintés ou à base de bitume de synthèse."
9,,"comme le prélèvement d'échantillons et les observations géologiques, ainsi que les forages, les forages d'essai ou les reforages des puits de pétrole ou pour les minerais métalliques et non métalliques"
9,,"Elle comprend les services d'exploration par les méthodes classiques de prospection,"
9,,La découverte de nouvelles réserves minérales est essentielle au succès de notre entreprise.
9,,"Localiser, extraire et traiter ces ressources naturelles est un processus pluriannuel qui implique une planification scientifique, environnementale et sociale complexe."
9,,"La mission de Newmont est de bâtir une entreprise minière durable tout en étant à la pointe de la sécurité, de la gérance environnementale et de la responsabilité sociale."
9,,"Aujourd'hui, nous extrayons principalement de l'or et du cuivre, ainsi que de l'argent et d'autres métaux et minéraux."
9,,"De la découverte de minéraux enfouis à la remise en état des terres après la fermeture de mines, nos opérations peuvent parfois s'étendre sur 30 ans ou plus."
9,,"Notre équipe mondiale de la chaîne d'approvisionnement joue un rôle stratégique et de gouvernance clé tout au long de la vie de la mine, en veillant à ce que notre réseau de partenaires locaux et mondiaux respecte des normes environnementales, sociales, de sécurité et éthiques strictes, en livrant d'une manière conforme aux biens et services Notre Vision et valeurs."
9,,"La première étape est la prospection. Pour les explorateurs travaillant sur le terrain, l'accès à la terre est essentiel à la découverte de gisements minéraux."
9,,"Une fois le régime foncier obtenu, les relations communautaires doivent être maintenues pendant les périodes d'inactivité et grâce à une communication continue entre plusieurs groupes de travail, entrepreneurs et consultants."
9,,"Si les données géologiques, géophysiques et géochimiques recueillies indiquent qu'il pourrait y avoir des gisements dans la zone ciblée, la deuxième étape : le forage peut commencer."
9,,"Après plusieurs années de forage intensif, les ingénieurs miniers utilisent enfin les modèles pour déterminer les méthodes d'exploitation minière, la taille et le calendrier optimaux de la mine, ainsi que les besoins en équipement qui maximiseront la sécurité et l'efficacité de la production - le tout dans la phase suivante."
9,,"Le personnel s'efforce de déterminer si le site prévu peut être exploité en toute sécurité d'une manière écologiquement, économiquement viable et socialement responsable."
9,,"Évaluer les éléments techniques tels que la gestion des actifs, la modélisation géologique et des ressources, l'ingénierie de projet et la planification des processus métallurgiques pour déterminer les exigences d'exploitation et de processus pour le site prévu"
9,,"Pendant que nous sommes occupés à concevoir la mine, nous devons simultanément travailler avec les parties prenantes locales pour concevoir une trajectoire durable, en tenant compte de la vision de la mine après la fin des opérations. Cela signifie les écouter et prioriser ensemble les objectifs de développement - tout en gérant notre impact actuel"
7,,L’activité minière consiste traditionnellement à exploiter de manière commerciale les ressources minérales ou énergétiques contenues dans les sols et plus récemment au fond des océans.
7,,"Il s’agit d’une activité ancienne puisqu’en Europe, elle remonte à plus de 3500 ans"
7,,Un minerai est une roche contenant des matériaux dont les propriétés intéressent les industriels
7,,"S’ils sont présents dans des quantités satisfaisantes d’un point de vue économique, ils seront extraits et traités pour être livrés aux industriels qui les utiliseront"
7,,La majorité des minerais métallifères rencontrés sur notre planète sont les suivants
7,,des oxydes (bauxite pour l’aluminium)
7,,"des sulfures (galène pour le plomb, sphalérite pour le zinc)"
7,,"des carbonates (malachite pour le cuivre, sidérite pour le fer)"
7,,des silicates (garniérite pour le nickel et le magnésium)
7,,"D’autres matériaux, en dehors du champ de cet article, entrent en ligne de compte pour la fabrication des équipements "
7,,"du pétrole pour les matières plastiques (coques, claviers, souris, enrobage des câbles,…)"
7,,"de la silice (puces électroniques, verre des écrans,…)"
7,,du lithium (batteries)
7,,"des substances chimiques (retardateurs de flammes,…)"
7,,"Les placers sont des mines de surface particulières qui répondent à la définition suivante : « gisement secondaire de roches sédimentaires, le plus souvent d’origine alluvionnaire, produisant des métaux et des minéraux lourds, notamment de l’or et des pierres précieuses »."
7,,Les placers représentent de 4 à 5% des mines métallifères
7,,Le triage final des paillettes d’or peut s’effectuer à la batée (cuvette conique) ou à l’aide d’une rampe de lavage.
7,,L’avantage que constitue ce type de gisement est son accessibilité et la possibilité de fortes concentrations.
7,,Les mines de surface représentent 52% des mines produisant des métaux et 83% des minerais métalliques extraits
7,,C’est la méthode d’extraction privilégiée pour les gisements peu profonds
7,,La géométrie de ce type de mine est généralement plus large que profonde pour accroitre la stabilité des parois
7,,"Les mines à ciel ouvert constituent la méthode employée pour les extractions de grande ampleur, alors que les mines souterraines concernent plutôt les extractions de plus petite taille"
7,,"La plupart de l’extraction de minerai de bauxite, de fer, de cuivre est réalisée à partir de techniques à ciel ouvert"
7,,"On peut y ajouter l’or, l’argent, le molybdène, le nickel (latérites)"
7,,Les minerais de plomb et de zinc sont principalement issus de mines souterraines et les métaux précieux
7,,C’est le cas de la mine de cuivre à ciel ouvert de Chuquicamata au Chili dont la fermeture était programmée en 2013 et la réouverture en mine souterraine en 2018
7,,"Un réseau de quatre tunnels couvrant 1500 km sous le fond de la mine actuelle sera mis en place. À la fin prévue de cette nouvelle phase d’exploitation, en 2060, ces tunnels abaisseront le niveau actuel du fond de la mine de près de 800 m"
7,,"Les minerais métallifères relèvent de la première catégorie, alors que la seconde catégorie concerne plutôt le charbon ou les sables bitumineux. 43% des mines métallifères mondiales sont souterraines et génèrent 17% des minerais métalliques extraits"
7,,"Les techniques employées permettent de remonter à la surface des minéraux durs, principalement des minerais métallifères contenant de l’or, de l’argent, du fer, du cuivre, du zinc, du nickel, de l’étain et du plomb."
7,,"L’extraction souterraine demande davantage d’énergie que l’extraction de surface à cause des mécanismes pour ramener le minerai en surface, pour ventiler et pomper l’eau des galeries"
7,,"Par contre, ce type d’extraction génère beaucoup moins de déchets que l’exploitation de surface, ne dépassant pas 10% de la production totale de minerai métallique"
7,,"Ainsi, une compagnie minière opérant en Afrique du sud espère toucher des concentrations d’or"
7,,"Longtemps laissée de côté pour des raisons de coût, l’exploitation de gisements offshore tend aujourd’hui à se développer."
7,,"il semble que, devant l’urgence à disposer des ressources stratégiques sans subir le monopole des principaux pays producteurs actuels ou pour faire face à leur déplétion, la recherche de nouveaux gisements de métaux rares au fond des océans s’organise"
7,,D’autres zones d’exploration existent dans le bassin péruvien situé dans le Pacifique Sud et dans l’Océan Indien
7,,Les USA ont récemment annoncé leur intension d’explorer la récolte de nodules polymétalliques dans l’Océan
7,,les minerais contenant les différents matériaux à partir desquels sont fabriqués les équipements électroniques proviennent de gisements très différents
7,,"La baisse globale constatée des concentrations des matériaux recherchés dans les minerais oblige à exploiter des sites de plus en plus profonds, à traiter des minerais de plus en plus pauvres, voire à explorer le fond des océans"
7,,"Selon le type de site (en surface, souterrain, sous-marin, dans le lit des cours d’eau), le type de gangue dans laquelle les matériaux recherchés sont présents, leur concentration dans le minerai, la profondeur d’extraction, les éventuels mélanges avec d’autre ressources valorisables dans le minerai, les techniques d’extraction et de traitement de ces minerais seront bien différentes"
7,,Il est fort probable qu’il en sera de même pour les impacts environnementaux
7,,"Ce groupe comprend les établissements dont l'activité principale est l'extraction de minéraux métalliques (minerais). Sont également compris les établissements effectuant des opérations de traitement et d 'enrichissement du minerai dans des installations exploitées de pair avec les mines desservies ou dans des installations exploitées de façon distincte, comme les usines à façon."
7,,"Le projet Montagne d’Or est un projet de mine aurifère industriel en Guyane, adoptant une démarche responsable et soutenable pour le territoire."
7,,"Le projet prévoit de développer le potentiel inexploité d’or primaire du gisement de Montagne d’Or en mine à ciel ouvert, et participer à l’essor de la filière minière en Guyane et au-delà."
7,,"L’objectif est d’extraire 85 tonnes d’or de réserves déjà définies sur le gisement, soit une production d’or d’environ 6,7 tonnes d’or par an, sur douze ans minimum"
7,,"57 métiers sont nécessaires pour les activités de la future mine, comme l’extraction et le traitement du minerai, le suivi environnemental, les services administratifs et la base-vie."
7,,"Les partenaires engageront environ 782 millions d’euros d’investissement pour la construction et la production de la mine, puis pour sa fermeture et le réaménagement."
7,,Les infrastructures minières occuperont une surface de 8 km²
7,,"Le site, qui fait l’objet d’une exploitation minière depuis 140 ans, est éloigné des lieux d’habitation"
7,,"Dès la phase de conception du projet de mine industrielle, la CMO a adopté une démarche responsable afin de favoriser l’intégration optimale du projet dans son environnement naturel et humain et d’apporter les meilleures garanties en termes de protection de l’environnement, de respect de la biodiversité et de relations avec les populations."
7,,"Enfin, la CMO s’engage à respecter le Code international de gestion du cyanure, préparé par un comité directeur sous l’égide du Programme des Nations unies pour l’environnement (PNUE) et du Conseil international des métaux et de l’environnement (ICME)"
7,,"Bien que le projet Montagne d’Or ne fasse pas appel aux financements de la Société financière internationale (SFI, entité du groupe Banque mondiale), il respectera les 8 normes de performances en matière de durabilité environnementale et sociale fixées par cette organisation internationale. Y figurent notamment la bonne gestion de la performance environnementale et sociale du projet à toutes les phases de sa réalisation, la promotion du traitement équitable, la non discrimination et l’égalité des chances des travailleurs, la protection des communautés environnantes, la protection et la conservation de la biodiversité."
94,,Les activités des organisations patronales et consulaires représentent un secteur professionnel dont les membres ont pour intérêt essentiel le développement et la prospérité des entreprises relevant d’un certain domaine ou profession
94,,"Les activités des organisations patronales et consulaires représentent un secteur professionnel dont les membres ont pour intérêt essentiel la croissance économique et la vie d’une région géographique ou d’une subdivision politique déterminée, indépendamment du type d’activité."
94,,"cet univers rassemble également les activités des fédérations d’associations de ce type, les chambres de commerce ainsi que les corporations (et autres organisations similaires). "
94,,"on y retrouve aussi la diffusion d’informations, la représentation auprès des organismes publics, les relations publiques et les négociations collectives des organisations patronales et consulaires"
94,,"Ce segment économique, à ne pas confondre avec les syndicats de salariés, concerne 7 207 entités en France dont les 5 plus dynamiques"
94,,"Structurées comme des syndicats de chefs d’entreprises, les organisations patronales françaises ont pour mission de défendre les intérêts de leurs membres face au législateur mais aussi d’apporter un conseil individualisé"
94,,l’histoire détaillée des mouvements patronaux français est à retrouver dans l’étude « Organisations Patronales en France et en Europe » du Ministère de l’Economie
94,,Les raisons d’adhésion à ce type de groupements sont multiples
94,,"Pour certains patrons, il s’agit de rompre l’isolement du chef d’entreprise"
94,,"Pour d’autres, il s’agit d’un moyen de se tenir au courant des évolutions dans sa branche d’activités"
94,,"Pour d’autres, il s’agit de bénéficier d’une assistance juridique ou administrative,"
94,,"Pour d’autres, il s’agit de se constituer un réseau"
94,,"En fonction des organisations, les conditions et les tarifs d’adhésion sont variables, allant d’une participation gratuite à un pourcentage défini du chiffre d’affaires de l’entreprise concernée"
94,,"Le MEDEF (Mouvement des Entreprises de France) et la CGPME (Confédération Générale des Petites et Moyennes Entreprises) réunissent à eux seuls 1,3 millions d’adhérents."
94,,"D’autres regroupements tels que l’UPA (Union Professionnelle Artisanale), la FNSEA (Fédération Nationale des Syndicats d’Exploitants Agricoles) et l’UNAPL (Union Nationale des Professions Libérales) sont également des acteurs incontournables du débat public."
94,,"Autre segment de ce secteur professionnel spécialisé dans le soutien aux entreprises, les organisations consulaires sont des établissements publics d’Etat."
94,,"Ces organismes tirent leur nom de organisations consulaires de leur toute première chambre, "
94,,laquelle siégeaient quatre consuls et dont la mission était de porter les intérêts du commerce local.
94,,"Aujourd’hui encore, l’objectif principal de ces entités est de représenter les différents acteurs privés d’une branche professionnelle par différents moyens (formation, développement du territoire…)."
94,,"Ces organisations concernent les domaines de l’agriculture, de l’artisanat, du commerce et de l’industrie, dont elles représentent les intérêts économiques au niveau local, régional ou national."
94,,Elles constituent un large réseau de chambres de métiers et de l’artisanat dont la tutelle financière et administrative revient aux préfets.
94,,"Contrairement aux organisations professionnelles dont l’adhésion est volontaire, les chambres consulaires assurent une représentation institutionnalisée obligatoire."
94,,"A l’image des ordres professionnels, l’affiliation à l’organisme représentatif de sa branche est ainsi impérative pour exercer son activité. "
94,,"Les Chambres de métiers et de l’artisanat ont pour vocation de représenter l’Artisanat, d’une manière officielle, auprès des pouvoirs publics."
94,,Les Organisations Professionnelles ont quant à elles pour mission de défendre et d’aider les entreprises exerçant un même métier ou appartenant à un même secteur d’activité.
94,,Elles constituent également un lieu d’échanges et de rencontres entre professionnels.
94,,"La majorité des Organisations Professionnelles sont regroupées en Confédérations, correspondant à trois grandes branches de métiers : Alimentation, Bâtiment, Production et Services."
94,,Ces Organisations Professionnelles sont chargées de défendre la branche d’activité qu’elles représentent
94,,Elles sont elles-mêmes réunies en Organisations Interprofessionnelles.
94,,Une mission centrale pour chaque organisation : la défense des intérêts du secteur représenté
94,,Chaque organisation professionnelle siège au sein de nombreux organismes publics où elle porte la voix des métiers qu’elles représentent
94,,"Commission départementale des impôts, Tribunal des affaires de la sécurité sociale, Conseil de prud’hommes, URSSAF, Caisses d’assurance maladie, Caisse d’Assurance vieillesse des artisans, CAF"
94,,"Direction départementale du travail, de l’emploi et de la formation professionnelle, Éducation nationale, Chambre de métiers et de l’artisanat"
94,,"Les organisations interprofessionnelles se mobilisent sur les problèmes communs à l’ensemble des secteurs de l’Artisanat, en concentrant efforts et moyens."
94,,"Les syndicats ont pour objet exclusif la défense des intérêts de leurs membres. Il ne s’agit pas seulement des intérêts professionnels, mais aussi matériels, moraux, individuels et collectifs."
94,,"Le rôle traditionnel du syndicat a évolué et s’est enrichi au fil des ans. Aujourd’hui, on peut distinguer :"
94,,II appartient aux syndicats de porter les revendications des salariés membres et de les faire aboutir aussi bien auprès du patronat qu’auprès des Pouvoirs publics.
94,,"Pour ce faire, les syndicats disposent d’une arme constitutionnelle importante : le droit de grève."
94,,Les syndicats sont les interlocuteurs des Pouvoirs publics et des groupements patronaux.
94,,"Ils constituent, avec les organisations patronales, les partenaires sociaux qui négocient et signent les conventions et accords collectifs"
94,,Les syndicats gèrent paritairement le régime de l’UNEDIC ainsi que les caisses de retraites complémentaires.
94,,Ils participent à la gestion des entrepri­ses nationalisées et à celle de certaines grandes entreprises privées.
94,,"Ils font égale­ment partie de nombreux conseils et comités (Conseil économique et social, comité de la formation professionnelle, conseil d’administration des caisses de Sécurité sociale, etc.)."
94,,La loi interdit aux syndicats de poursuivre :
94,,"Les syndicats ne peuvent pas exercer un commerce ou faire des actes de com­merce. Ils ne peuvent donc ni acheter, ni vendre, ni réaliser des bénéfices et les distribuer."
94,,Un syndicat ne peut se constituer pour défendre un programme politique
94,,"Par principe, un syndicat ne peut refuser un adhérent en raison de son appartenance politique."
94,,"Le syndicat a ainsi un carac­tère apolitique. Cependant, la tradition française fait que, bien souvent, les syndi­cats prennent position sur les programmes des partis politiques, ceux-ci ayant généralement des conséquences sur la vie professionnelle de leurs adhérents."
94,,"les activités des organisations religieuses ou des particuliers fournissant des services directement aux fidèles dans les églises, mosquées, temples, synagogues ou dans d'autres lieux."
94,,L’activité syndicale s’exerce au niveau des entreprises par l’intermédiaire des sections syndicales d’entreprise et des délégués syndicaux d’entreprise
36,,"Par captage, on entend un ouvrage de prélèvement exploitant une ressource en eau, que ce soit en surface (prise d'eau en rivière) ou dans le sous-sol (forage ou puits atteignant un aquifère)"
36,,"Qu'ils soient destinés à l'alimentation en eau potable, à l'irrigation ou aux usages domestiques et industriels, tout captage doit être déclaré"
36,,en mairie pour les prélèvements inférieurs à 1000 m3/an ou à la DDTM pour les prélèvements supérieurs à 1000 m3/an (avec demande d'autorisation pour les prélèvements supérieurs à 200 000 m3/an)
36,,"Au-delà de ces aspects quantitatifs, les ressources destinées à l'AEP, qu'elle soit individuelle ou collective, sont également soumises à des contrôles qualitatifs obligatoires, en rapport avec les normes de potabilité établies par le code de la santé publique."
36,,captage fait référence à l'action de prélever une ressource en eau et ne se réfère donc pas à un objet physique identifiable
36,,Selon le dictionnaire relatif au « Zonages techniques et réglementaires du domaine de l'eau »
36,,"captage devrait être employé au sens d'un « ouvrage de prélèvement » destiné, dans le cas présent, à l'alimentation en eau potable"
36,,La maintenance et l'exploitation de ces aménagements sont placées sous la responsabilité juridique et administrative d'un seul exploitant
36,,"Les aménagements en question peuvent comprendre un ou plusieurs points de prélèvement (source, forage, prise d'eau)"
36,,qui matérialisent autant de connexions physiques entre la ressource en eau exploitée et le dispositif de captage dans son ensemble
36,,les différents puits d'un champ captant
36,,"Généralement, un dispositif technique de comptage d'eau (compteur d'eau, débitmètre) est physiquement placé en aval de chaque point de prélèvement"
36,,"Toutefois, compte-tenu de certains facteurs liés aux conditions de terrain, mais aussi de considérations économiques (coûts liés aux installations techniques), un dispositif de comptage peut être rattaché à plusieurs points de prélèvement"
36,,un même point de prélèvement peut être rattaché à plusieurs dispositifs de comptage
36,,En tout état de cause le décompte du volume global d'eau prélevée sur la ressource est généralement mutualisé à l'échelle de l'ouvrage de prélèvement
36,,L'identification et le rattachement des différents points de prélèvements d'un même captage doivent donc être établis de manière certaine pour garantir un suivi optimal des pressions exercées sur la ressource prélevée
36,,Périmètres de Protection et Aire d'Alimentation de Captage
36,,A chaque captage sont assujetties des obligations de protection se concrétisant en premier lieu par des normes de conception
36,,"pour les points de prélèvement souterrains, l'aménagement doit dépasser d'au moins 50 cm par rapport à la surface du sol et doit être étanchéifié pour éviter toute infiltration préférentielle depuis la surface"
36,,La démarche de protection s'exprime aussi par la mise en oeuvre d'un ensemble de mesures susceptibles de s'appliquer sur tout ou partie du territoire situé en amont hydraulique du captage.
36,,"Pour ce faire, la protection des captages d'eau potable fait aujourd'hui appel à deux dispositifs destinés à circonscrire et hiérarchiser les zones appropriées pour l'application de ces mesures"
36,,Ces périmètres sont principalement destinés à assurer la protection de la ressource prélevée vis-à-vis de pollutions ponctuelles et accidentelles susceptibles de survenir dans le voisinage immédiat du captage
36,,"dans certains cas, à se prémunir contre les pollutions diffuses menaçant directement le captage"
36,,"Sur la base d'une étude du contexte hydrogéologique (et/ou hydrologique) fournie par la collectivité, les périmètres de protection sont délimités après avis d'un hydrogéologue agréé en matière d'hygiène publique."
36,,"La délimitation de ces périmètres et les prescriptions adoptées, afférentes aux différents périmètres, sont fixées après enquête publique dans un arrêté préfectoral de déclaration d'utilité publique"
36,,"Depuis la loi sur l'eau et les milieux aquatiques, la prise en compte des problématiques de pollutions diffuses s'est traduite par un dispositif, complémentaire aux PPC, visant la mise en place de mesures de protection sur tout ou partie de l'Aire d'Alimentation du Captage"
36,,"Sous cette appellation sont alors considérées l'ensemble des surfaces contribuant à l'alimentation du captage ou, autrement dit, l'ensemble des surfaces où toute goutte d'eau tombée au sol est susceptible de parvenir jusqu'au captage, que ce soit par infiltration ou par ruissellement"
36,,"Le traitement d’eau est un procédé, une action qui permet de rendre les eaux usées d’une qualité définie par les différents articles de lois, et arrêtés préfectoraux."
36,,L’épuration des eaux usées se fait en station.
36,,"Les eaux usées sont issues de l'activité humaine : production industrielle, ou utilisation domestique."
36,,Il existe un troisième type d’eau à traiter : les eaux pluviales.
36,,L'assainissement des eaux usées se fait dans un but précis.
36,,"L’assainissement peut avoir comme objectif la production d’eau potable pour le collectif. L’envoi de l’eau épurée et potable aux foyers, depuis la station, sera assuré par un réseau."
36,,"Le deuxième objectif que peut avoir l’assainissement est le rejet en milieu naturel. Est qualifié comme “milieu naturel” tout cours d’eau, rivière, lac, ... L’étape d’assainissement est très importante parce qu’elle permet de ne pas déranger l’équilibre de la nature. "
36,,"En effet, les matières polluantes et les bactéries contenues dans l’eau constituent un danger pour la survie de la flore et faune aquatique."
36,,"En fonction de la provenance et de la pollution de l’eau,"
36,,les dispositifs de traitement peuvent varier
36,,"Basiquement, l’eau usée industrielle est souvent polluée de matières chimiques."
36,,"Pour l’épurer en station, elle subit un traitement primaire, et secondaire."
36,,"Lorsque l’eau est rejetée en nature, il est possible d’utiliser un procédé de traitement biologique."
36,,Ce système d’épuration biologique est inspiré du milieu naturel.
36,,"Elle consiste à mélanger de l’oxygène et de la boue activée, afin d’éliminer les matières organiques présentes dans l’eau."
36,,La distribution d'eau désigne l'ensemble des dispositifs et des compagnies assurant la distribution de l'eau potable et de l'eau industrielle.
36,,L'eau de mer peut également être à l'origine d'une distribution d'eau ; elle doit dans ce cas être préalablement dessalée ce qui nécessite beaucoup d'énergie.
36,,"Autrefois assurée par des puits et fontaines souvent collectifs, la distribution de détail se fait majoritairement de nos jours par canalisations depuis des prises d'eau en rivière (à la source ou au fil du cours d'eau) ou dans la nappe phréatique."
36,,"Les réseaux avals de distribution sont l'étape finale de l'alimentation en eau potable des populations ou des industriels, mais l'approvisionnement en eau nécessite également des installations amont d'extraction et de traitement."
36,,"Avant d’arriver au robinet, l’eau potable prend un circuit fait de ramifications qui la conduit de l’usine de production d’eau potable jusqu’au réservoir d’eau, puis de ce réservoir jusqu’aux robinets."
36,,"L’eau potable est ensuite acheminée vers des réservoirs, qui sont soit enterrés, soit surélevés."
36,,"Quand ils sont surélevés, ce sont des châteaux d’eau qui permettent de distribuer l’eau par gravité à une pression régulière jusque dans les habitations. C'est le principe des vases communicants."
36,,"En somme, la distribution de l’eau potable est un service public qui est fait par les collectivités territoriales qui déterminent librement leur mode de gestion : soit elles assurent ce service sous forme d'une régie, soit elles le délèguent à une entreprise privée"
65,,L'assurance-vie est le premier moyen d'épargne en France.
65,,"Contrat d’assurance en cas de vie, en cas de décès, en cas de vie et décès"
65,,"les producteurs et les distributeurs d'épargnes retraite ou de contrat d'assurance-vie devront afficher les frais sur leur site dans un tableau standardisé, défini par un accord commun avec l'appui du ministère de l'Économie."
65,,"En 2021, les fonds en euros des contrats d’assurance-vie ont offert un rendement moyen de 1,1 %"
65,,"Droit de renonciation, rachat, arbitrages, relevé de situation. Tout savoir sur vos droits en cours de vie du contrat sur abe-infoservice.fr."
65,,prévoit d'une part l'éligibilité des titres associatifs et fondatifs
65,,"Il existe trois types de contrats d’assurance-vie : l'assurance en cas de vie, l'assurance en cas de décès et un contrat mixte de vie et décès."
65,,Les assurances-vie garantissent le versement d'un capital ou d'une rente au souscripteur ou au bénéficiaire désigné dans le contrat
65,,"L'assurance en cas de décès constitue une garantie pour les proches de l'assuré, alors que l'assurance en cas de vie est davantage utilisée comme placement, l'assuré pouvant être lui-même le bénéficiaire du contrat."
65,,De nombreuses formules d'assurance-vie sont proposées selon la durée choisie et les options de sortie (versement d'une rente ou d'un capital)
65,,"Les risques encourus par l'assuré varient également selon le support choisi : les contrats souscrits en euros bénéficient d'un capital garanti, alors que le capital des contrats en unité de compte ou en action varie en fonction des marchés."
65,,Les contrats d'assurance-vie sont régis par le code des assurances
65,,"met en place un nouveau contrat d'assurance-vie libellé en unités de compte,"
65,,"La fiscalité de l'assurance-vie, détaillée sur le site France Assureurs, est différente selon les contrats et selon les conditions de sortie. "
65,,La réassurance est l’assurance des sociétés d’assurances.
65,,"Parfois appelée assurance secondaire, celle-ci ne peut pas exister sans l'étape préliminaire du transfert de risque que représente l'assurance primaire."
65,,La réassurance fait partie du secteur de l’assurance et de la finance en général.
65,,La réassurance apparaît peu après le renouveau de l'assurance au Moyen Âge.
65,,Ils décidèrent de céder le risque à un troisième assureur sur la partie la plus risquée du voyage
65,,"Rapidement, des sociétés d'assurance vont apparaître et se développer dans tous les pays occidentaux, surtout au Royaume-Uni, en Allemagne et en France."
65,,"La réassurance moderne et à grande échelle est apparue en Allemagne vers la fin du xixe siècle, à la suite de la révolution industrielle de ce pays"
65,,de nombreuses sociétés spécialisées uniquement dans la réassurance émergèrent et la réassurance se mit à couvrir à peu près toutes les branches sur tous les marchés d’assurance mondiaux
65,,"l'offre et la demande de réassurance restent beaucoup plus fortement implantés dans les pays développés, l’offre de réassurance provenant essentiellement de quelques pays occidentaux"
65,,le réassureur est l'assureur de l'assureur 
65,,"Il s'agit pour la société d'assurance (la cédante) de céder à une société spécialisée (le réassureur) un risque aléatoire (les conséquences d'un sinistre incendie, de la mort, d'un séisme, d'un naufrage) contre le règlement d'une prime de réassurance correspondant au risque transféré et au mode de transfert prévu dans le contrat de réassurance (le traité)"
65,,La société d’assurance est alors appelée la cédante (ou assureur primaire) et elle effectue une cession auprès d'un ou de plusieurs réassureurs (l’assureur secondaire) par un contrat de réassurance (ou programme)
65,,"Un contrat de réassurance existe sous de nombreuses formes et peut couvrir une période donnée ou non, bien que la plupart des contrats de réassurance aient une période de validité d’un an"
65,,Le contrat de réassurance ne lie juridiquement que la cédante à son réassureur.
65,,"Ainsi, la cédante devra rembourser son assuré sinistré même si le réassureur refuse de payer la cédante (par exemple à cause d'une interprétation différente des clauses du contrat de réassurance) ou s’il ne peut pas le régler (par exemple en cas d'insolvabilité) il est donc juridiquement ducroire des engagements qu'il a contracté auprès de ses assurés."
65,,Le particulier ou l’entreprise assurés ne sont en principe pas au courant de l’existence d’un contrat de réassurance et ils n’ont aucun contact avec le(s) réassureur(s).
65,,"Jadis limitée à quelques affaires spécifiques, la réassurance est devenue aujourd’hui un acteur important du secteur de l’assurance où elle joue une influence croissante."
65,,la réassurance permet aux cédantes de faire face aux pics de sinistralité exceptionnels 
65,,la réassurance aide à empêcher la faillite d’un assureur qui n’a pas les fonds disponibles en cas de très grande catastrophe 
65,,"en se réassurant, la cédante dispose d’une plus grande capacité et sûreté financière et peut donc souscrire plus d’affaires qu’elle ne l’aurait pu si elle n’avait pas de réassureurs et ne disposait que de ses fonds propres"
65,,la réassurance permet de lisser les bilans et résultats financiers des cédantes d’une année sur l’autre en intervenant les années où il existe de nombreux sinistres chez la cédante
65,,"la pression des autorités réglementaires, des agences de rating ou même des actionnaires pousse les sociétés d’assurance à se réassurer dans certaines branches"
65,,Les réassureurs couvrent en général des risques avec des garanties très importantes. Ils éprouvent donc le besoin d'atomiser leurs risques encore plus que les assureurs.
65,,Les réassureurs possèdent souvent un portefeuille très international
65,,"Les sinistres que craignent les réassureurs sont des événements de type catastrophe naturelle majeure à grande échelle (crue de la Seine à Paris par exemple), pandémie grippale grave ou actes terroristes graves, susceptibles d'engendrer de longues pertes d’exploitation par rupture de la continuité économique qui pourrait nécessiter des milliards d’euros d’indemnisation."
65,,"la réassurance obligatoire réalisée par traités (treaties) qui couvre tout le portefeuille d'une cédante dans une sous-branche, comme le portefeuille automobile ou incendie par exemple"
65,,Ensuite vient la réassurance facultative réalisée par des facultatives (facultatives en anglais) qui couvre un ou plusieurs risques ou polices spécifiques de la cédante et qui sont explicitement décrits.
65,,"Enfin beaucoup plus rare, la réassurance facultative-obligatoire qui réalise un mélange des deux modes précédents."
65,,"Par définition, la réassurance en traité couvre des sommes beaucoup plus importantes et le réassureur doit accepter de couvrir tous les risques de la sous-branche de la cédante, alors que la réassurance en facultative ne couvre qu'un ou quelques risques choisis par les deux parties."
65,,"Les caisses de retraite diffèrent selon votre statut (salarié, fonctionnaire, agent contractuel de la fonction publique, commerçant, profession libérale, ...)"
65,,"Une caisse de retraite est une institution financière, publique ou privée dont la mission est de collecter les cotisations des actifs, pour pouvoir verser les pensions des retraités."
65,,"Premier régime de retraite français, l'Assurance retraite couvre aujourd'hui plus de 36 millions d'assurés"
